URL,Question,Option A,Option B,Option C,Option D,GT,Prompt,answer
https://attack.mitre.org/techniques/T1595,"Which MITRE ATT&CK technique is specifically associated with the Triton Safety Instrumented System Attack, where TEMP.Veles engaged in network reconnaissance?",T1593,T1594,T1595,T1596,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which MITRE ATT&CK technique is specifically associated with the Triton Safety Instrumented System Attack, where TEMP.Veles engaged in network reconnaissance?   Options:  A) T1593  B) T1594  C) T1595  D) T1596  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595,"Based on the provided information, which MITRE ATT&CK technique would likely be employed if an adversary intends to establish operational resources by developing capabilities?",T1593.002,T1068,T1595.001,T1104,B,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Based on the provided information, which MITRE ATT&CK technique would likely be employed if an adversary intends to establish operational resources by developing capabilities?   Options:  A) T1593.002  B) T1068  C) T1595.001  D) T1104  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595,"Within the context of MITRE ATT&CK, which of the following data sources is most relevant for detecting active reconnaissance scans that deviate from expected protocol standards and traffic flows?",DS0013,DS0029,DS0005,DS0002,B,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Within the context of MITRE ATT&CK, which of the following data sources is most relevant for detecting active reconnaissance scans that deviate from expected protocol standards and traffic flows?   Options:  A) DS0013  B) DS0029  C) DS0005  D) DS0002  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595,"Given the provided MITRE ATT&CK mitigations, which of the following is NOT a suitable strategy for mitigating pre-compromise active reconnaissance techniques?",Minimizing the amount and sensitivity of externally available data.,Implementing network segmentation to isolate critical systems.,Employing intrusion detection systems (IDS) for anomaly detection.,Implementing access control mechanisms to restrict unauthorized access.,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Given the provided MITRE ATT&CK mitigations, which of the following is NOT a suitable strategy for mitigating pre-compromise active reconnaissance techniques?   Options:  A) Minimizing the amount and sensitivity of externally available data.  B) Implementing network segmentation to isolate critical systems.  C) Employing intrusion detection systems (IDS) for anomaly detection.  D) Implementing access control mechanisms to restrict unauthorized access.  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", D
https://attack.mitre.org/techniques/T1595,"What is the specific MITRE ATT&CK technique ID for the technique ""Search Open Technical Databases"" that adversaries might use after gaining information from active reconnaissance?",T1593.001,T1079,T1595.001,T1594,B,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: What is the specific MITRE ATT&CK technique ID for the technique ""Search Open Technical Databases"" that adversaries might use after gaining information from active reconnaissance?   Options:  A) T1593.001  B) T1079  C) T1595.001  D) T1594  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595/001,"What is the primary objective of the ""Gather Victim Network Information"" technique (T1591) within the MITRE ATT&CK framework?",To identify vulnerabilities in the victim's network.,To gain initial access to the victim's network.,To gather information about the victim's network infrastructure and hosts.,To establish persistent access to the victim's network.,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: What is the primary objective of the ""Gather Victim Network Information"" technique (T1591) within the MITRE ATT&CK framework?   Options:  A) To identify vulnerabilities in the victim's network.  B) To gain initial access to the victim's network.  C) To gather information about the victim's network infrastructure and hosts.  D) To establish persistent access to the victim's network.  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", C
https://attack.mitre.org/techniques/T1595/001,"According to the text, what type of reconnaissance techniques can be facilitated by information gathered during IP block scans?",Social engineering,Physical security assessments,Search Open Websites/Domains,Malware analysis,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: According to the text, what type of reconnaissance techniques can be facilitated by information gathered during IP block scans?   Options:  A) Social engineering  B) Physical security assessments  C) Search Open Websites/Domains  D) Malware analysis  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", C
https://attack.mitre.org/techniques/T1595/001,Which MITRE ATT&CK mitigation strategy (M1056) is specifically mentioned in the context of IP block scanning?,Pre-compromise,Post-compromise,Incident response,Vulnerability management,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which MITRE ATT&CK mitigation strategy (M1056) is specifically mentioned in the context of IP block scanning?   Options:  A) Pre-compromise  B) Post-compromise  C) Incident response  D) Vulnerability management  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595/001,"Within the context of MITRE ATT&CK, what is the primary function of the ""TeamTNT"" adversary group (G0139)?",Developing and distributing ransomware,Conducting phishing campaigns,Scanning specific lists of target IP addresses,Performing denial-of-service attacks,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Within the context of MITRE ATT&CK, what is the primary function of the ""TeamTNT"" adversary group (G0139)?   Options:  A) Developing and distributing ransomware  B) Conducting phishing campaigns  C) Scanning specific lists of target IP addresses  D) Performing denial-of-service attacks  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595/001,"According to the ""Data Source"" section, what network traffic data component can be used to detect suspicious network communication patterns?",Network Traffic Flow,Network Protocol Analysis,Network Packet Capture,Network Segmentation,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: According to the ""Data Source"" section, what network traffic data component can be used to detect suspicious network communication patterns?   Options:  A) Network Traffic Flow  B) Network Protocol Analysis  C) Network Packet Capture  D) Network Segmentation  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595/002,Which of the following MITRE ATT&CK techniques is associated with the use of the JexBoss tool to identify vulnerabilities in Java applications?,G0016,G0096,G0035,G0143,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which of the following MITRE ATT&CK techniques is associated with the use of the JexBoss tool to identify vulnerabilities in Java applications?   Options:  A) G0016  B) G0096  C) G0035  D) G0143  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595/002,Which APT group is known to have used the Acunetix SQL injection vulnerability scanner in target reconnaissance operations?,APT28,APT29,APT41,Sandworm Team,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which APT group is known to have used the Acunetix SQL injection vulnerability scanner in target reconnaissance operations?   Options:  A) APT28  B) APT29  C) APT41  D) Sandworm Team  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", C
https://attack.mitre.org/techniques/T1595/002,"According to the provided text, which of the following is NOT a potential outcome of vulnerability scans?",Gather Victim Host Information,Search Open Websites/Domains,Develop Capabilities,Exploit Public-Facing Application,B,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: According to the provided text, which of the following is NOT a potential outcome of vulnerability scans?   Options:  A) Gather Victim Host Information  B) Search Open Websites/Domains  C) Develop Capabilities  D) Exploit Public-Facing Application  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595/002,Which of the following MITRE ATT&CK techniques is most closely associated with exploiting vulnerabilities discovered through vulnerability scans?,T1055,T1190,T1204,T1590,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which of the following MITRE ATT&CK techniques is most closely associated with exploiting vulnerabilities discovered through vulnerability scans?   Options:  A) T1055  B) T1190  C) T1204  D) T1590  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595/002,What MITRE ATT&CK platform is primarily targeted by vulnerability scanning techniques discussed in the text?,Enterprise,ICS,Mobile,All of the above,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: What MITRE ATT&CK platform is primarily targeted by vulnerability scanning techniques discussed in the text?   Options:  A) Enterprise  B) ICS  C) Mobile  D) All of the above  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595/003,"What is the primary objective of the ""Iterative Network Scanning"" technique, as described in the text?",Identifying vulnerable endpoints,Discovering valid credentials,Enumerating directories and web pages,Mapping network topology,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: What is the primary objective of the ""Iterative Network Scanning"" technique, as described in the text?   Options:  A) Identifying vulnerable endpoints  B) Discovering valid credentials  C) Enumerating directories and web pages  D) Mapping network topology  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", D
https://attack.mitre.org/techniques/T1595/003,"In the context of MITRE ATT&CK for Enterprise, which of the following techniques is NOT directly mentioned as being employed by the adversary group ""APT41""?",T1021.001 - Brute Force,T1593.001 - Directory Traversal,T1135 - Brute Force,T1071.005 - Web Server Exploitation,B,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: In the context of MITRE ATT&CK for Enterprise, which of the following techniques is NOT directly mentioned as being employed by the adversary group ""APT41""?   Options:  A) T1021.001 - Brute Force  B) T1593.001 - Directory Traversal  C) T1135 - Brute Force  D) T1071.005 - Web Server Exploitation  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", B
https://attack.mitre.org/techniques/T1595/003,"Which MITRE ATT&CK technique is used by the adversary group ""Volatile Cedar"" to discover hidden administrative portals, potentially leading to further exploitation?",T1021.001 - Brute Force,T1593.001 - Directory Traversal,T1071.005 - Web Server Exploitation,T1135 - Brute Force,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which MITRE ATT&CK technique is used by the adversary group ""Volatile Cedar"" to discover hidden administrative portals, potentially leading to further exploitation?   Options:  A) T1021.001 - Brute Force  B) T1593.001 - Directory Traversal  C) T1071.005 - Web Server Exploitation  D) T1135 - Brute Force  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1595/003,"Based on the provided text, what is the primary mitigation strategy suggested for the ""Iterative Network Scanning"" technique?",Restricting access to sensitive data,Implementing intrusion detection systems,Using strong passwords and multi-factor authentication,Disabling unnecessary services and features,D,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Based on the provided text, what is the primary mitigation strategy suggested for the ""Iterative Network Scanning"" technique?   Options:  A) Restricting access to sensitive data  B) Implementing intrusion detection systems  C) Using strong passwords and multi-factor authentication  D) Disabling unnecessary services and features  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", D
